lead_id,segment,lead_source,status,created_at
LEAD-001660,SMB,G2/Capterra Review,New,2025-11-16
LEAD-001661,SMB,Security Conference,SQL,2024-12-19
LEAD-001662,SMB,Partner Referral,New,2025-11-14
LEAD-001663,SMB,Compliance Webinar,New,2024-06-21
LEAD-001664,Mid-Market,Outbound Prospecting,Disqualified,2024-10-28
LEAD-001665,SMB,Organic Search,MQL,2024-02-24
LEAD-001666,SMB,Partner Referral,Opportunity,2025-02-11
LEAD-001667,SMB,Organic Search,Opportunity,2026-01-28
LEAD-001668,Mid-Market,Content Download,Opportunity,2026-05-03
LEAD-001669,SMB,Organic Search,Opportunity,2025-08-26
LEAD-001670,SMB,Content Download,New,2025-06-15
LEAD-001671,Enterprise,G2/Capterra Review,New,2026-01-22
LEAD-001672,Mid-Market,Security Conference,New,2026-04-26
LEAD-001673,SMB,Partner Referral,Opportunity,2024-06-30
LEAD-001674,SMB,Outbound Prospecting,MQL,2025-08-09
LEAD-001675,Mid-Market,Paid Search,MQL,2025-07-11
LEAD-001676,Mid-Market,G2/Capterra Review,MQL,2024-05-01
LEAD-001677,SMB,Paid Search,MQL,2024-08-29
LEAD-001678,Enterprise,,SQL,2026-02-21
LEAD-001679,SMB,Content Download,New,2024-07-03
LEAD-001680,SMB,Outbound Prospecting,MQL,2025-02-06
LEAD-001681,Mid-Market,Outbound Prospecting,Disqualified,2025-04-03
LEAD-001682,Enterprise,Compliance Webinar,MQL,2024-03-15
LEAD-001683,SMB,Content Download,New,2024-12-01
LEAD-001684,Mid-Market,Security Conference,Opportunity,2025-07-24
LEAD-001685,Mid-Market,Compliance Webinar,New,2025-07-08
LEAD-001686,SMB,Paid Search,Opportunity,2024-02-08
LEAD-001687,Mid-Market,Paid Search,Opportunity,2024-08-23
LEAD-001688,Mid-Market,G2/Capterra Review,Opportunity,2025-12-09
LEAD-001689,SMB,Compliance Webinar,SQL,2025-09-12
LEAD-001690,SMB,Organic Search,SQL,2025-04-07
LEAD-001691,Mid-Market,Security Conference,Opportunity,2024-02-06
LEAD-001692,Mid-Market,Security Conference,New,2024-08-28
LEAD-001693,Enterprise,G2/Capterra Review,MQL,2025-07-06
LEAD-001694,Mid-Market,Content Download,Disqualified,2024-10-08
LEAD-001695,SMB,Organic Search,Opportunity,2025-10-04
LEAD-001696,Mid-Market,Security Conference,SQL,2025-01-28
LEAD-001697,SMB,G2/Capterra Review,MQL,2024-06-06
LEAD-001698,Mid-Market,Content Download,New,2025-05-20
LEAD-001699,Enterprise,Paid Search,SQL,2025-11-28
LEAD-001700,SMB,G2/Capterra Review,SQL,2026-03-22
LEAD-001701,SMB,Paid Search,SQL,2025-11-10
LEAD-001702,Enterprise,Outbound Prospecting,SQL,2026-01-15
LEAD-001703,Mid-Market,Security Conference,SQL,2024-05-07
LEAD-001704,SMB,Content Download,SQL,2025-01-18
LEAD-001705,SMB,Content Download,Opportunity,2025-08-30
LEAD-001706,SMB,Content Download,MQL,2024-10-28
LEAD-001707,SMB,Partner Referral,SQL,2025-06-29
LEAD-001708,Mid-Market,Compliance Webinar,SQL,2024-08-15
LEAD-001709,Mid-Market,Partner Referral,SQL,2025-08-09
LEAD-001710,Enterprise,Outbound Prospecting,MQL,2025-12-01
LEAD-001711,Mid-Market,Outbound Prospecting,New,2026-01-09
LEAD-001712,Enterprise,Security Conference,New,2025-02-02
LEAD-001713,SMB,Content Download,MQL,2026-06-08
LEAD-001714,Mid-Market,Outbound Prospecting,MQL,2025-01-13
LEAD-001715,SMB,Organic Search,SQL,2025-01-09
LEAD-001716,SMB,Security Conference,SQL,2026-05-20
LEAD-001717,Mid-Market,Paid Search,MQL,2026-03-02
LEAD-001718,Mid-Market,Compliance Webinar,New,2025-10-05
LEAD-001719,Mid-Market,Organic Search,Opportunity,2025-05-07
LEAD-001720,Mid-Market,Content Download,Disqualified,2025-12-22
LEAD-001721,SMB,Partner Referral,MQL,2026-05-08
LEAD-001722,SMB,G2/Capterra Review,MQL,2025-04-09
LEAD-001723,SMB,Outbound Prospecting,New,2024-06-26
LEAD-001724,SMB,Partner Referral,Opportunity,2026-05-16
LEAD-001725,Enterprise,Organic Search,New,2026-05-21
LEAD-001726,SMB,Paid Search,Opportunity,2026-05-16
LEAD-001727,SMB,Organic Search,New,2024-03-30
LEAD-001728,SMB,Outbound Prospecting,New,2025-06-25
LEAD-001729,Enterprise,Organic Search,MQL,2025-07-28
LEAD-001730,SMB,,SQL,2025-01-04
LEAD-001731,SMB,Outbound Prospecting,MQL,2024-12-04
LEAD-001732,Mid-Market,G2/Capterra Review,MQL,2026-06-03
LEAD-001733,Mid-Market,G2/Capterra Review,SQL,2025-03-28
LEAD-001734,SMB,Content Download,New,2025-06-06
LEAD-001735,SMB,Compliance Webinar,MQL,2025-08-25
LEAD-001736,SMB,Outbound Prospecting,SQL,2025-12-30
LEAD-001737,Mid-Market,Compliance Webinar,New,2025-09-21
LEAD-001738,Enterprise,Organic Search,SQL,2024-12-06
LEAD-001739,SMB,Paid Search,Opportunity,2026-03-31
LEAD-001740,SMB,Partner Referral,SQL,2024-03-15
LEAD-001741,Enterprise,Content Download,MQL,2026-04-26
LEAD-001742,SMB,Outbound Prospecting,Opportunity,2024-01-06
LEAD-001743,SMB,Security Conference,Disqualified,2025-10-10
LEAD-001744,SMB,Content Download,SQL,2024-10-18
LEAD-001745,Mid-Market,G2/Capterra Review,MQL,2026-01-03
LEAD-001746,SMB,Security Conference,Opportunity,2024-08-15
LEAD-001747,SMB,Security Conference,Opportunity,2025-02-27
LEAD-001748,SMB,Paid Search,New,2026-01-26
LEAD-001749,Mid-Market,Outbound Prospecting,New,2024-03-12
LEAD-001750,SMB,Content Download,SQL,2024-04-18
LEAD-001751,Mid-Market,Partner Referral,Opportunity,2025-09-13
LEAD-001752,SMB,Paid Search,SQL,2024-03-01
LEAD-001753,SMB,Paid Search,Opportunity,2025-03-01
LEAD-001754,SMB,Content Download,New,2024-12-19
LEAD-001755,SMB,Content Download,SQL,2025-12-24
LEAD-001756,SMB,Security Conference,New,2024-12-24
LEAD-001757,SMB,Outbound Prospecting,New,2025-07-29
LEAD-001758,Mid-Market,Security Conference,New,2025-08-07
LEAD-001759,Enterprise,Outbound Prospecting,New,2026-04-16
LEAD-001760,Mid-Market,Security Conference,MQL,2024-09-03
LEAD-001761,Mid-Market,G2/Capterra Review,Disqualified,2026-01-05
LEAD-001762,SMB,Organic Search,SQL,2025-04-13
LEAD-001763,Mid-Market,Partner Referral,MQL,2024-08-10
LEAD-001764,Enterprise,Content Download,SQL,2024-11-29
LEAD-001765,SMB,Content Download,SQL,2025-09-21
LEAD-001766,SMB,G2/Capterra Review,Opportunity,2026-01-20
LEAD-001767,SMB,Outbound Prospecting,SQL,2025-10-17
LEAD-001768,SMB,Content Download,New,2025-10-30
LEAD-001769,SMB,Partner Referral,Opportunity,2025-07-07
LEAD-001770,SMB,Compliance Webinar,New,2026-01-12
LEAD-001771,Mid-Market,Security Conference,New,2024-10-23
LEAD-001772,SMB,Paid Search,SQL,2024-09-16
LEAD-001773,Mid-Market,Security Conference,SQL,2024-07-03
LEAD-001774,Enterprise,Security Conference,Disqualified,2025-03-26
LEAD-001775,SMB,Paid Search,MQL,2025-09-02
LEAD-001776,SMB,Security Conference,Opportunity,2025-12-25
LEAD-001777,Enterprise,Outbound Prospecting,New,2025-06-15
LEAD-001778,SMB,Content Download,Disqualified,2024-04-10
LEAD-001779,SMB,Outbound Prospecting,MQL,2026-06-02
LEAD-001780,SMB,Partner Referral,New,2024-09-28
LEAD-001781,Mid-Market,Security Conference,SQL,2025-04-21
LEAD-001782,SMB,Security Conference,MQL,2026-01-27
LEAD-001783,Mid-Market,Outbound Prospecting,SQL,2024-08-30
LEAD-001784,Mid-Market,G2/Capterra Review,Opportunity,2026-02-07
LEAD-001785,Mid-Market,Paid Search,New,2024-11-05
LEAD-001786,SMB,G2/Capterra Review,SQL,2026-05-25
LEAD-001787,Mid-Market,Outbound Prospecting,New,2026-05-05
LEAD-001788,Enterprise,Partner Referral,SQL,2026-06-07
LEAD-001789,SMB,Content Download,SQL,2026-01-17
LEAD-001790,Enterprise,Outbound Prospecting,MQL,2024-07-22
LEAD-001791,SMB,Partner Referral,New,2024-01-06
LEAD-001792,Mid-Market,Security Conference,New,2025-05-26
LEAD-001793,SMB,Organic Search,New,2024-06-03
LEAD-001794,Mid-Market,Organic Search,New,2025-12-04
LEAD-001795,Enterprise,Security Conference,MQL,2024-05-22
LEAD-001796,SMB,Organic Search,New,2024-04-17
LEAD-001797,SMB,Content Download,Disqualified,2024-02-02
LEAD-001798,SMB,Outbound Prospecting,SQL,2026-02-17
LEAD-001799,SMB,Partner Referral,New,2026-01-17
LEAD-001800,SMB,Compliance Webinar,SQL,2024-12-11
LEAD-001801,SMB,Paid Search,SQL,2025-11-12
LEAD-001802,Mid-Market,Organic Search,New,2024-06-29
LEAD-001803,SMB,Compliance Webinar,Disqualified,2025-02-08
LEAD-001804,Mid-Market,Content Download,Opportunity,2025-08-13
LEAD-001805,Mid-Market,Content Download,New,2024-05-11
LEAD-001806,SMB,Partner Referral,Opportunity,2024-12-24
LEAD-001807,Mid-Market,Organic Search,SQL,2024-01-02
LEAD-001808,Mid-Market,Partner Referral,SQL,2024-12-19
LEAD-001809,SMB,Security Conference,Opportunity,2024-08-22
LEAD-001810,Enterprise,Organic Search,New,2025-01-02
LEAD-001811,SMB,Outbound Prospecting,MQL,2024-05-13
LEAD-001812,SMB,Paid Search,New,2026-01-30
LEAD-001813,Mid-Market,Paid Search,New,2024-02-25
LEAD-001814,SMB,Outbound Prospecting,SQL,2025-07-24
LEAD-001815,SMB,Paid Search,New,2025-03-29
LEAD-001816,Mid-Market,Organic Search,MQL,2024-01-23
LEAD-001817,SMB,Content Download,New,2025-10-27
LEAD-001818,Enterprise,Organic Search,New,2026-06-03
LEAD-001819,SMB,Paid Search,New,2024-10-19
LEAD-001820,SMB,Paid Search,New,2025-02-19
LEAD-001821,Enterprise,Security Conference,MQL,2024-11-11
LEAD-001822,Mid-Market,Outbound Prospecting,MQL,2024-12-22
LEAD-001823,SMB,G2/Capterra Review,Opportunity,2024-09-14
LEAD-001824,SMB,Organic Search,New,2025-04-17
LEAD-001825,SMB,Organic Search,Disqualified,2024-05-01
LEAD-001826,Mid-Market,,Disqualified,2026-01-24
LEAD-001827,Mid-Market,Partner Referral,New,2026-02-20
LEAD-001828,Enterprise,Security Conference,New,2025-07-11
LEAD-001829,SMB,Organic Search,SQL,2025-04-03
LEAD-001830,SMB,Paid Search,Opportunity,2024-12-16
LEAD-001831,Mid-Market,Security Conference,New,2025-02-22
LEAD-001832,SMB,Partner Referral,New,2024-12-06
LEAD-001833,SMB,Paid Search,SQL,2025-06-27
LEAD-001834,Enterprise,Security Conference,New,2024-06-28
LEAD-001835,SMB,Partner Referral,Disqualified,2024-07-05
LEAD-001836,SMB,Outbound Prospecting,MQL,2025-09-02
LEAD-001837,SMB,Paid Search,New,2024-12-07
LEAD-001838,SMB,Partner Referral,SQL,2026-04-09
LEAD-001839,Enterprise,Security Conference,Opportunity,2025-02-07
LEAD-001840,SMB,Content Download,New,2025-06-21
LEAD-001841,SMB,Content Download,SQL,2024-02-02
LEAD-001842,SMB,Compliance Webinar,MQL,2024-11-14
LEAD-001843,Enterprise,Paid Search,SQL,2024-02-21
LEAD-001844,SMB,Security Conference,Opportunity,2024-09-15
LEAD-001845,SMB,Compliance Webinar,SQL,2025-07-19
LEAD-001846,SMB,Compliance Webinar,SQL,2025-11-14
LEAD-001847,Enterprise,Organic Search,New,2024-09-18
LEAD-001848,Mid-Market,Paid Search,SQL,2026-04-30
LEAD-001849,Mid-Market,Security Conference,Opportunity,2025-09-12
LEAD-001850,SMB,Security Conference,SQL,2024-07-22
LEAD-001851,SMB,Security Conference,Opportunity,2025-01-26
LEAD-001852,Mid-Market,Compliance Webinar,New,2024-04-11
LEAD-001853,SMB,Security Conference,MQL,2025-05-06
LEAD-001854,Mid-Market,Partner Referral,New,2024-11-26
LEAD-001855,SMB,Partner Referral,Opportunity,2025-11-16
LEAD-001856,Mid-Market,Compliance Webinar,MQL,2025-09-17
LEAD-001857,SMB,Paid Search,New,2024-09-27
LEAD-001858,SMB,G2/Capterra Review,Opportunity,2024-05-22
LEAD-001859,SMB,Security Conference,New,2025-07-07
LEAD-001860,Mid-Market,Organic Search,New,2024-06-11
LEAD-001861,Mid-Market,Paid Search,SQL,2024-09-22
LEAD-001862,SMB,Organic Search,New,2026-02-07
LEAD-001863,Mid-Market,Security Conference,Opportunity,2024-03-26
LEAD-001864,Enterprise,Paid Search,MQL,2025-10-02
LEAD-001865,Mid-Market,Compliance Webinar,Opportunity,2026-04-14
LEAD-001866,Mid-Market,Organic Search,Opportunity,2024-09-23
LEAD-001867,SMB,Content Download,New,2024-12-30
LEAD-001868,SMB,Partner Referral,SQL,2025-06-03
LEAD-001869,SMB,Paid Search,MQL,2024-01-27
LEAD-001870,SMB,Paid Search,MQL,2025-11-13
LEAD-001871,SMB,Content Download,Opportunity,2024-03-28
LEAD-001872,SMB,G2/Capterra Review,New,2024-03-27
LEAD-001873,Enterprise,Security Conference,SQL,2026-03-21
LEAD-001874,SMB,G2/Capterra Review,SQL,2025-04-19
LEAD-001875,Mid-Market,G2/Capterra Review,MQL,2026-05-18
LEAD-001876,SMB,Paid Search,New,2024-08-22
LEAD-001877,Mid-Market,Compliance Webinar,SQL,2025-08-17
LEAD-001878,SMB,Outbound Prospecting,MQL,2025-07-19
LEAD-001879,Mid-Market,Content Download,MQL,2026-04-07
LEAD-001880,Mid-Market,Partner Referral,MQL,2024-04-19
LEAD-001881,Mid-Market,Security Conference,SQL,2025-11-05
LEAD-001882,Mid-Market,G2/Capterra Review,New,2025-09-11
LEAD-001883,Enterprise,Compliance Webinar,SQL,2025-07-13
LEAD-001884,SMB,Compliance Webinar,Opportunity,2024-09-29
LEAD-001885,SMB,Compliance Webinar,New,2024-06-05
LEAD-001886,Mid-Market,Organic Search,MQL,2024-12-30
LEAD-001887,Mid-Market,Partner Referral,Opportunity,2025-07-09
LEAD-001888,SMB,Paid Search,MQL,2026-03-19
LEAD-001889,Mid-Market,Compliance Webinar,MQL,2025-05-28
LEAD-001890,SMB,Paid Search,Opportunity,2024-09-21
LEAD-001891,SMB,Content Download,Opportunity,2025-03-31
LEAD-001892,Mid-Market,Organic Search,MQL,2024-03-05
LEAD-001893,SMB,Organic Search,New,2025-08-23
LEAD-001894,Enterprise,Partner Referral,MQL,2025-09-06
LEAD-001895,Mid-Market,Content Download,Opportunity,2026-01-01
LEAD-001896,SMB,Partner Referral,New,2024-01-01
LEAD-001897,SMB,Partner Referral,New,2025-07-23
LEAD-001898,SMB,G2/Capterra Review,MQL,2024-01-23
LEAD-001899,Enterprise,Outbound Prospecting,SQL,2024-11-05
LEAD-001900,SMB,Compliance Webinar,New,2024-11-21
LEAD-001901,Mid-Market,Partner Referral,SQL,2026-03-17
LEAD-001902,Mid-Market,G2/Capterra Review,SQL,2026-01-28
LEAD-001903,SMB,Organic Search,SQL,2024-09-21
LEAD-001904,Mid-Market,Paid Search,MQL,2026-01-16
LEAD-001905,SMB,G2/Capterra Review,MQL,2024-04-09
LEAD-001906,SMB,Security Conference,MQL,2024-04-17
LEAD-001907,Mid-Market,Outbound Prospecting,SQL,2025-10-03
LEAD-001908,SMB,Compliance Webinar,MQL,2025-07-05
LEAD-001909,Mid-Market,Partner Referral,SQL,2025-12-14
LEAD-001910,Mid-Market,Security Conference,MQL,2025-08-03
LEAD-001911,SMB,Organic Search,MQL,2024-11-17
LEAD-001912,Mid-Market,Paid Search,New,2026-01-09
LEAD-001913,Mid-Market,Content Download,New,2025-05-04
LEAD-001914,Enterprise,Partner Referral,SQL,2025-12-12
LEAD-001915,SMB,Organic Search,New,2025-11-30
LEAD-001916,Mid-Market,Partner Referral,Opportunity,2026-02-28
LEAD-001917,Mid-Market,G2/Capterra Review,New,2025-02-24
LEAD-001918,Enterprise,Content Download,New,2024-12-01
LEAD-001919,SMB,,MQL,2024-01-26
LEAD-001920,Mid-Market,Compliance Webinar,SQL,2025-08-17
LEAD-001921,SMB,Paid Search,New,2025-01-19
LEAD-001922,Mid-Market,Compliance Webinar,SQL,2025-07-24
LEAD-001923,Mid-Market,G2/Capterra Review,MQL,2026-03-19
LEAD-001924,SMB,Content Download,Disqualified,2024-11-14
LEAD-001925,SMB,Outbound Prospecting,MQL,2025-07-04
LEAD-001926,Enterprise,Security Conference,SQL,2024-11-22
LEAD-001927,Enterprise,Partner Referral,SQL,2024-01-30
LEAD-001928,SMB,Partner Referral,Opportunity,2026-03-29
LEAD-001929,SMB,G2/Capterra Review,SQL,2024-07-07
LEAD-001930,Mid-Market,Outbound Prospecting,SQL,2025-02-10
LEAD-001931,Mid-Market,Outbound Prospecting,New,2025-12-12
LEAD-001932,Enterprise,G2/Capterra Review,New,2024-06-28
LEAD-001933,SMB,Content Download,Opportunity,2025-03-14
LEAD-001934,Enterprise,Security Conference,SQL,2025-02-14
LEAD-001935,SMB,Outbound Prospecting,SQL,2024-04-16
LEAD-001936,SMB,Compliance Webinar,SQL,2025-01-16
LEAD-001937,Enterprise,Compliance Webinar,MQL,2025-02-01
LEAD-001938,Enterprise,Paid Search,SQL,2024-01-16
LEAD-001939,SMB,G2/Capterra Review,MQL,2025-07-26
LEAD-001940,SMB,Organic Search,New,2025-01-01
LEAD-001941,SMB,Paid Search,Opportunity,2024-05-18
LEAD-001942,Enterprise,G2/Capterra Review,SQL,2025-10-15
LEAD-001943,Mid-Market,Organic Search,New,2024-06-17
LEAD-001944,SMB,Compliance Webinar,New,2025-05-05
LEAD-001945,SMB,G2/Capterra Review,MQL,2025-01-30
LEAD-001946,Mid-Market,Paid Search,MQL,2026-04-18
LEAD-001947,Mid-Market,Outbound Prospecting,Opportunity,2024-06-28
LEAD-001948,SMB,Organic Search,SQL,2024-08-26
LEAD-001949,SMB,Compliance Webinar,MQL,2024-10-01
LEAD-001950,SMB,G2/Capterra Review,New,2024-10-19
LEAD-001951,Mid-Market,Outbound Prospecting,SQL,2026-05-15
LEAD-001952,Enterprise,Organic Search,New,2025-12-31
LEAD-001953,Enterprise,Compliance Webinar,SQL,2026-01-24
LEAD-001954,Mid-Market,Security Conference,SQL,2026-04-15
LEAD-001955,Enterprise,Security Conference,MQL,2026-02-21
LEAD-001956,SMB,Compliance Webinar,SQL,2024-06-19
LEAD-001957,SMB,Paid Search,New,2025-07-05
LEAD-001958,SMB,Content Download,SQL,2024-12-28
LEAD-001959,Mid-Market,Paid Search,SQL,2026-03-13
LEAD-001960,SMB,Partner Referral,Opportunity,2026-01-01
LEAD-001961,Mid-Market,Paid Search,MQL,2024-08-23
LEAD-001962,SMB,Content Download,New,2024-12-04
LEAD-001963,Mid-Market,Compliance Webinar,Disqualified,2026-06-02
LEAD-001964,Mid-Market,Organic Search,MQL,2025-02-09
LEAD-001965,SMB,Compliance Webinar,MQL,2025-03-11
LEAD-001966,SMB,Content Download,New,2025-11-17
LEAD-001967,Enterprise,Compliance Webinar,New,2025-06-28
LEAD-001968,SMB,Outbound Prospecting,SQL,2025-09-26
LEAD-001969,SMB,Organic Search,Disqualified,2026-02-12
LEAD-001970,Enterprise,Outbound Prospecting,New,2024-05-30
LEAD-001971,SMB,Compliance Webinar,Opportunity,2026-04-03
LEAD-001972,Mid-Market,G2/Capterra Review,Opportunity,2026-03-06
LEAD-001973,SMB,Paid Search,MQL,2025-05-07
LEAD-001974,Mid-Market,Content Download,SQL,2026-05-09
LEAD-001975,SMB,Content Download,New,2026-04-09
LEAD-001976,SMB,G2/Capterra Review,SQL,2024-05-15
LEAD-001977,Enterprise,Partner Referral,SQL,2024-08-29
LEAD-001978,SMB,Organic Search,New,2025-10-23
LEAD-001979,Mid-Market,Security Conference,Disqualified,2024-06-09
LEAD-001980,Enterprise,Partner Referral,Opportunity,2025-06-11
LEAD-001981,Enterprise,Partner Referral,New,2026-04-15
LEAD-001982,SMB,Content Download,New,2024-01-17
LEAD-001983,SMB,G2/Capterra Review,MQL,2024-02-16
LEAD-001984,Enterprise,Security Conference,SQL,2025-07-14
LEAD-001985,SMB,Compliance Webinar,New,2024-04-05
LEAD-001986,SMB,Partner Referral,Opportunity,2024-11-22
LEAD-001987,Mid-Market,Organic Search,MQL,2026-03-16
LEAD-001988,SMB,G2/Capterra Review,SQL,2025-07-17
LEAD-001989,Mid-Market,Partner Referral,MQL,2025-08-25
LEAD-001990,SMB,Organic Search,Disqualified,2026-03-02
LEAD-001991,Enterprise,Security Conference,SQL,2024-07-05
LEAD-001992,SMB,Compliance Webinar,Opportunity,2025-08-25
LEAD-001993,SMB,Organic Search,MQL,2024-02-17
LEAD-001994,SMB,G2/Capterra Review,MQL,2024-01-14
LEAD-001995,Enterprise,G2/Capterra Review,SQL,2024-03-29
LEAD-001996,Mid-Market,,Opportunity,2025-04-02
LEAD-001997,SMB,Organic Search,MQL,2025-08-28
LEAD-001998,SMB,Security Conference,New,2025-01-11
LEAD-001999,Mid-Market,Partner Referral,MQL,2024-10-28
LEAD-002000,Mid-Market,G2/Capterra Review,MQL,2025-09-28
LEAD-002001,SMB,G2/Capterra Review,SQL,2025-06-24
LEAD-002002,SMB,G2/Capterra Review,SQL,2025-10-12
LEAD-002003,Mid-Market,Security Conference,SQL,2025-10-18
LEAD-002004,SMB,Organic Search,MQL,2025-08-28
LEAD-002005,SMB,Outbound Prospecting,MQL,2025-04-10
LEAD-002006,Enterprise,Paid Search,MQL,2024-01-23
LEAD-002007,Enterprise,Content Download,MQL,2025-01-02
LEAD-002008,SMB,Content Download,MQL,2024-03-21
LEAD-002009,Mid-Market,Paid Search,SQL,2025-08-08
LEAD-002010,SMB,Content Download,Opportunity,2025-01-04
LEAD-002011,SMB,Outbound Prospecting,Opportunity,2025-05-13
LEAD-002012,SMB,Organic Search,SQL,2024-10-30
LEAD-002013,SMB,Content Download,SQL,2025-11-20
LEAD-002014,Mid-Market,Content Download,New,2025-08-29
LEAD-002015,SMB,Content Download,MQL,2024-05-24
LEAD-002016,Mid-Market,Security Conference,MQL,2025-04-05
LEAD-002017,SMB,Compliance Webinar,SQL,2024-05-15
LEAD-002018,SMB,Outbound Prospecting,SQL,2026-05-03
LEAD-002019,Mid-Market,Outbound Prospecting,MQL,2024-01-03
LEAD-002020,Mid-Market,Content Download,New,2025-05-23
LEAD-002021,Mid-Market,Paid Search,Opportunity,2025-10-09
LEAD-002022,SMB,Outbound Prospecting,MQL,2025-04-15
LEAD-002023,SMB,Content Download,New,2024-06-30
LEAD-002024,SMB,Outbound Prospecting,Opportunity,2024-10-13
LEAD-002025,SMB,Organic Search,MQL,2026-04-16
LEAD-002026,SMB,Content Download,SQL,2024-09-03
LEAD-002027,SMB,G2/Capterra Review,New,2025-07-09
LEAD-002028,Enterprise,Outbound Prospecting,Disqualified,2026-03-16
LEAD-002029,SMB,Paid Search,New,2024-01-02
LEAD-002030,Mid-Market,Security Conference,Opportunity,2026-04-15
LEAD-002031,Mid-Market,Outbound Prospecting,New,2024-02-14
LEAD-002032,Mid-Market,Partner Referral,Opportunity,2025-03-27
LEAD-002033,SMB,Content Download,New,2024-03-13
LEAD-002034,Mid-Market,,SQL,2025-05-10
LEAD-002035,SMB,Organic Search,Opportunity,2024-11-15
LEAD-002036,Mid-Market,Outbound Prospecting,SQL,2025-10-23
LEAD-002037,SMB,Security Conference,MQL,2024-08-06
LEAD-002038,Mid-Market,G2/Capterra Review,MQL,2024-10-12
LEAD-002039,Enterprise,Organic Search,MQL,2025-10-01
LEAD-002040,Mid-Market,Content Download,Opportunity,2024-11-14
LEAD-002041,Mid-Market,Organic Search,New,2026-03-03
LEAD-002042,SMB,Compliance Webinar,MQL,2026-03-04
LEAD-002043,Mid-Market,G2/Capterra Review,New,2025-04-24
LEAD-002044,Enterprise,Partner Referral,Opportunity,2026-01-15
LEAD-002045,SMB,Compliance Webinar,MQL,2024-09-04
LEAD-002046,SMB,Content Download,MQL,2026-06-01
LEAD-002047,SMB,G2/Capterra Review,Disqualified,2024-07-17
LEAD-002048,Mid-Market,Partner Referral,Opportunity,2024-11-02
LEAD-002049,Enterprise,Partner Referral,MQL,2024-11-21
LEAD-002050,Mid-Market,G2/Capterra Review,Opportunity,2025-10-07
LEAD-002051,Enterprise,Compliance Webinar,MQL,2024-02-18
LEAD-002052,SMB,Paid Search,MQL,2024-10-10
LEAD-002053,Mid-Market,G2/Capterra Review,MQL,2024-12-26
LEAD-002054,SMB,G2/Capterra Review,New,2026-01-16
LEAD-002055,Mid-Market,Paid Search,MQL,2026-02-23
LEAD-002056,SMB,Paid Search,MQL,2026-01-18
LEAD-002057,SMB,Organic Search,Opportunity,2024-03-26
LEAD-002058,Enterprise,Security Conference,SQL,2024-04-07
LEAD-002059,Mid-Market,Paid Search,New,2025-12-22
LEAD-002060,Enterprise,G2/Capterra Review,Disqualified,2024-06-21
LEAD-002061,Mid-Market,G2/Capterra Review,SQL,2024-08-27
LEAD-002062,SMB,Compliance Webinar,SQL,2024-06-30
LEAD-002063,Enterprise,Organic Search,MQL,2024-11-17
LEAD-002064,Mid-Market,Outbound Prospecting,SQL,2024-06-10
LEAD-002065,Mid-Market,Paid Search,New,2024-08-07
LEAD-002066,Mid-Market,Content Download,SQL,2026-03-28
LEAD-002067,Mid-Market,Compliance Webinar,MQL,2024-12-13
LEAD-002068,SMB,Compliance Webinar,Disqualified,2024-04-12
LEAD-002069,Mid-Market,Partner Referral,Opportunity,2025-07-17
LEAD-002070,SMB,Outbound Prospecting,SQL,2025-01-09
LEAD-002071,Mid-Market,Partner Referral,SQL,2024-02-19
LEAD-002072,SMB,G2/Capterra Review,New,2024-08-09
LEAD-002073,Enterprise,Paid Search,New,2024-05-01
LEAD-002074,SMB,Outbound Prospecting,New,2024-08-07
LEAD-002075,SMB,Compliance Webinar,New,2025-10-03
LEAD-002076,Mid-Market,Organic Search,Opportunity,2024-12-10
LEAD-002077,Enterprise,Content Download,SQL,2026-02-17
LEAD-002078,Mid-Market,Outbound Prospecting,SQL,2024-02-16
LEAD-002079,SMB,Organic Search,Disqualified,2025-05-13
LEAD-002080,Mid-Market,Paid Search,SQL,2025-03-14
LEAD-002081,Enterprise,Paid Search,New,2025-03-25
LEAD-002082,SMB,Paid Search,SQL,2025-05-05
LEAD-002083,SMB,Content Download,SQL,2025-11-09
LEAD-002084,SMB,Compliance Webinar,MQL,2025-01-18
LEAD-002085,Mid-Market,Paid Search,Disqualified,2025-01-21
LEAD-002086,Mid-Market,,MQL,2024-06-13
LEAD-002087,Mid-Market,Paid Search,New,2025-01-23
LEAD-002088,SMB,Content Download,Opportunity,2024-04-18
LEAD-002089,SMB,Compliance Webinar,New,2024-07-10
LEAD-002090,Mid-Market,Content Download,New,2024-12-04
LEAD-002091,Mid-Market,Organic Search,Disqualified,2025-08-08
LEAD-002092,SMB,G2/Capterra Review,Opportunity,2024-09-07
LEAD-002093,SMB,G2/Capterra Review,MQL,2024-06-04
LEAD-002094,Enterprise,Organic Search,New,2024-08-13
LEAD-002095,Mid-Market,Paid Search,New,2025-04-12
LEAD-002096,SMB,Security Conference,MQL,2024-07-09
LEAD-002097,SMB,G2/Capterra Review,MQL,2024-08-24
LEAD-002098,Enterprise,Partner Referral,MQL,2024-07-02
LEAD-002099,Mid-Market,Content Download,MQL,2024-07-10
LEAD-002100,SMB,Security Conference,Opportunity,2025-12-12
LEAD-002101,Mid-Market,Paid Search,SQL,2026-03-31
LEAD-002102,SMB,Content Download,New,2024-01-07
LEAD-002103,SMB,G2/Capterra Review,SQL,2025-10-24
LEAD-002104,Mid-Market,Content Download,New,2025-06-21
