opp_id,lead_id,account_id,rep_id,segment,lead_source,plan,stage,amount,created_date,close_date
OPP-000450,LEAD-001056,ACC-00715,REP-0039,Mid-Market,G2/Capterra Review,SOC2 Starter,Closed Lost,1173.46,2024-03-29,2024-06-06
OPP-000451,LEAD-001060,ACC-01213,REP-0005,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,7200.96,2025-05-30,2025-07-10
OPP-000452,LEAD-001061,ACC-00182,REP-0024,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Won,8414.81,2024-02-14,2024-04-21
OPP-000453,LEAD-001063,ACC-00776,REP-0023,SMB,Partner Referral,SOC2 Starter,Closed Lost,1140.4,2025-01-24,2025-02-03
OPP-000454,LEAD-001066,ACC-00419,REP-0017,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1393.56,2024-11-21,2024-12-06
OPP-000455,LEAD-001070,ACC-01053,REP-0002,SMB,Organic Search,SOC2 Starter,Closed Won,1527.59,2024-02-06,2024-02-26
OPP-000456,LEAD-001073,ACC-00491,REP-0038,Enterprise,Partner Referral,SOC2 + ISO 27001,Closed Lost,3555.53,2024-12-19,2025-05-11
OPP-000457,LEAD-001076,ACC-01106,REP-0018,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1133.01,2025-01-11,2025-01-28
OPP-000458,LEAD-001077,ACC-01416,REP-0008,Mid-Market,G2/Capterra Review,SOC2 Starter,Closed Won,1448.84,2025-04-15,2025-06-07
OPP-000459,LEAD-001078,ACC-00374,REP-0026,SMB,Partner Referral,SOC2 Starter,Closed Won,1376.4,2025-10-03,2025-10-19
OPP-000460,LEAD-001082,ACC-00162,REP-0021,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1318.96,2026-02-21,2026-03-08
OPP-000461,LEAD-001083,ACC-01196,REP-0014,Mid-Market,Outbound Prospecting,SOC2 Starter,Closed Won,1219.76,2024-05-24,2024-07-23
OPP-000462,LEAD-001086,ACC-00058,REP-0029,Enterprise,G2/Capterra Review,Enterprise Multi-Framework,Closed Lost,5583.38,2025-03-29,2025-07-14
OPP-000463,LEAD-001091,ACC-00824,REP-0009,SMB,Paid Search,SOC2 Starter,Closed Won,1238.52,2024-03-28,2024-04-16
OPP-000464,LEAD-001093,ACC-00523,REP-0013,SMB,Content Download,SOC2 Starter,Closed Lost,1021.79,2024-03-08,2024-03-19
OPP-000465,LEAD-001094,ACC-01575,REP-0032,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1285.19,2025-05-01,2025-05-27
OPP-000466,LEAD-001097,ACC-00986,REP-0033,SMB,Security Conference,SOC2 Starter,Closed Lost,1150.47,2026-05-18,2026-06-13
OPP-000467,LEAD-001100,ACC-01238,REP-0034,SMB,Paid Search,SOC2 Starter,Closed Lost,1398.2,2025-01-06,2025-01-28
OPP-000468,LEAD-001102,ACC-01335,REP-0013,Enterprise,Outbound Prospecting,SOC2 Starter,Closed Lost,1229.95,2025-01-13,2025-06-01
OPP-000469,LEAD-001103,ACC-01650,REP-0007,SMB,Content Download,SOC2 Starter,Closed Won,1078.12,2024-06-02,2024-06-25
OPP-000470,LEAD-001104,ACC-01391,REP-0038,SMB,Partner Referral,SOC2 Starter,Closed Lost,1513.82,2025-12-29,2026-01-22
OPP-000471,LEAD-001106,ACC-00927,REP-0037,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1099.28,2024-09-15,2024-09-26
OPP-000472,LEAD-001107,ACC-01239,REP-0002,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1076.52,2024-01-25,2024-02-04
OPP-000473,LEAD-001111,ACC-01236,REP-0037,Enterprise,,SOC2 + ISO 27001,Closed Lost,3453.85,2025-01-24,2025-05-25
OPP-000474,LEAD-001116,ACC-01113,REP-0032,Enterprise,Organic Search,Enterprise Multi-Framework,Proposal,6179.85,2026-06-01,2026-06-30
OPP-000475,LEAD-001119,ACC-00420,REP-0005,Mid-Market,,SOC2 Starter,Closed Lost,1058.47,2024-01-14,2024-03-02
OPP-000476,LEAD-001120,ACC-01363,REP-0014,Mid-Market,Outbound Prospecting,SOC2 + ISO 27001,Closed Lost,3488.62,2024-06-08,2024-07-17
OPP-000477,LEAD-001121,ACC-01263,REP-0028,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Lost,3174.36,2025-11-11,2025-12-07
OPP-000478,LEAD-001125,ACC-00292,REP-0008,SMB,Partner Referral,SOC2 Starter,Closed Lost,1112.63,2025-05-22,2025-05-29
OPP-000479,LEAD-001132,ACC-01083,REP-0028,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1212.66,2025-11-01,2025-11-17
OPP-000480,LEAD-001134,ACC-01673,REP-0034,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1050.46,2026-02-12,2026-03-12
OPP-000481,LEAD-001135,ACC-00011,REP-0023,Mid-Market,Organic Search,SOC2 Starter,Closed Lost,1296.88,2025-04-01,2025-05-31
OPP-000482,LEAD-001140,ACC-01335,REP-0004,SMB,Security Conference,SOC2 Starter,Closed Won,1351.6,2026-03-26,2026-04-22
OPP-000483,LEAD-001143,ACC-00006,REP-0022,Mid-Market,G2/Capterra Review,Enterprise Multi-Framework,Closed Lost,6133.97,2025-02-13,2025-04-05
OPP-000484,LEAD-001144,ACC-01496,REP-0036,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1389.18,2024-06-25,2024-07-16
OPP-000485,LEAD-001148,ACC-01452,REP-0032,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1438.34,2025-11-12,2025-11-28
OPP-000486,LEAD-001152,ACC-00367,REP-0026,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1124.99,2024-05-04,2024-05-27
OPP-000487,LEAD-001156,ACC-00158,REP-0023,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1131.46,2025-05-02,2025-05-14
OPP-000488,LEAD-001158,ACC-01008,REP-0009,Enterprise,Outbound Prospecting,Enterprise Multi-Framework,Closed Lost,6088.98,2024-08-22,2024-12-16
OPP-000489,LEAD-001159,ACC-00199,REP-0020,Mid-Market,Partner Referral,SOC2 + ISO 27001,Closed Lost,3399.61,2025-07-30,2025-09-07
OPP-000490,LEAD-001163,ACC-01637,REP-0008,Mid-Market,Compliance Webinar,SOC2 + ISO 27001,Closed Lost,2777.62,2026-03-07,2026-05-11
OPP-000491,LEAD-001165,ACC-01390,REP-0037,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,6117.34,2024-11-23,2025-01-06
OPP-000492,LEAD-001166,ACC-00570,REP-0001,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1286.31,2026-04-23,2026-05-18
OPP-000493,LEAD-001167,ACC-01362,REP-0005,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Lost,7385.79,2024-05-03,2024-06-20
OPP-000494,LEAD-001168,ACC-01082,REP-0022,SMB,Paid Search,SOC2 Starter,Closed Won,1383.91,2026-03-29,2026-04-05
OPP-000495,LEAD-001169,ACC-01110,REP-0010,SMB,Partner Referral,SOC2 Starter,Closed Lost,1446.77,2026-04-18,2026-05-06
OPP-000496,LEAD-001172,ACC-00393,REP-0006,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1558.5,2026-02-15,2026-03-14
OPP-000497,LEAD-001174,ACC-00977,REP-0023,SMB,Content Download,SOC2 Starter,Closed Won,1420.58,2024-01-18,2024-02-12
OPP-000498,LEAD-001175,ACC-00849,REP-0028,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1413.23,2024-11-18,2024-11-27
OPP-000499,LEAD-001180,ACC-01406,REP-0025,SMB,Content Download,SOC2 Starter,Closed Lost,1406.85,2026-02-11,2026-02-18
OPP-000500,LEAD-001184,ACC-00481,REP-0018,SMB,Organic Search,SOC2 Starter,Closed Won,1120.1,2024-08-20,2024-08-27
OPP-000501,LEAD-001189,ACC-01340,REP-0024,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1269.18,2025-08-26,2025-09-12
OPP-000502,LEAD-001190,ACC-00859,REP-0026,SMB,,SOC2 Starter,Closed Lost,1411.56,2025-12-19,2026-01-06
OPP-000503,LEAD-001192,ACC-01205,REP-0031,SMB,Paid Search,SOC2 Starter,Closed Lost,1202.28,2024-10-15,2024-11-06
OPP-000504,LEAD-001198,ACC-00888,REP-0034,SMB,Partner Referral,SOC2 Starter,Closed Lost,1452.95,2025-01-04,2025-01-21
OPP-000505,LEAD-001199,ACC-00312,REP-0016,SMB,Partner Referral,SOC2 Starter,Closed Lost,1501.25,2024-09-15,2024-09-29
OPP-000506,LEAD-001201,ACC-00873,REP-0012,Mid-Market,Partner Referral,SOC2 Starter,Closed Lost,1486.46,2026-01-07,2026-02-15
OPP-000507,LEAD-001202,ACC-01716,REP-0007,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1472.22,2025-05-18,2025-06-06
OPP-000508,LEAD-001203,ACC-00948,REP-0015,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1491.82,2024-09-11,2024-09-18
OPP-000509,LEAD-001204,ACC-00338,REP-0035,SMB,Organic Search,SOC2 Starter,Closed Lost,1057.96,2025-09-26,2025-10-22
OPP-000510,LEAD-001205,ACC-01705,REP-0027,SMB,Paid Search,SOC2 Starter,Closed Won,1330.77,2024-11-06,2024-11-17
OPP-000511,LEAD-001207,ACC-01330,REP-0025,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1080.24,2024-10-13,2024-10-23
OPP-000512,LEAD-001210,ACC-01725,REP-0004,Enterprise,Organic Search,SOC2 Starter,Closed Lost,1138.94,2025-11-29,2026-02-12
OPP-000513,LEAD-001218,ACC-01736,REP-0030,Enterprise,Paid Search,SOC2 Starter,Closed Won,1084.6,2025-03-21,2025-08-01
OPP-000514,LEAD-001219,ACC-01346,REP-0037,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,6784.92,2026-01-30,2026-04-14
OPP-000515,LEAD-001224,ACC-00416,REP-0007,SMB,Security Conference,SOC2 Starter,Closed Lost,1037.43,2025-03-18,2025-04-13
OPP-000516,LEAD-001225,ACC-01274,REP-0025,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1352.58,2025-01-02,2025-01-30
OPP-000517,LEAD-001226,ACC-01695,REP-0005,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,6165.54,2024-06-17,2024-07-16
OPP-000518,LEAD-001229,ACC-01051,REP-0032,Mid-Market,Content Download,SOC2 + ISO 27001,Closed Lost,3450.39,2026-04-24,2026-06-16
OPP-000519,LEAD-001230,ACC-01105,REP-0033,Mid-Market,Organic Search,SOC2 + ISO 27001,Closed Lost,2818.75,2025-05-28,2025-06-26
OPP-000520,LEAD-001231,ACC-00826,REP-0034,SMB,Organic Search,SOC2 Starter,Closed Lost,1557.97,2025-07-17,2025-08-16
OPP-000521,LEAD-001232,ACC-00916,REP-0017,Mid-Market,Content Download,SOC2 Starter,Closed Lost,1491.26,2026-03-17,2026-04-17
OPP-000522,LEAD-001235,ACC-00074,REP-0037,Mid-Market,G2/Capterra Review,SOC2 + ISO 27001,Closed Lost,2995.04,2024-08-19,2024-10-06
OPP-000523,LEAD-001237,ACC-00682,REP-0038,SMB,Paid Search,SOC2 Starter,Closed Lost,1124.98,2026-03-30,2026-04-17
OPP-000524,LEAD-001238,ACC-01559,REP-0014,SMB,Content Download,SOC2 Starter,Closed Won,1375.25,2024-11-09,2024-11-28
OPP-000525,LEAD-001242,ACC-00135,REP-0021,SMB,,SOC2 Starter,Closed Lost,1542.21,2025-09-03,2025-09-22
OPP-000526,LEAD-001244,ACC-00568,REP-0002,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Lost,3327.95,2025-11-26,2025-12-26
OPP-000527,LEAD-001246,ACC-00831,REP-0020,Mid-Market,G2/Capterra Review,SOC2 Starter,Closed Lost,1365.98,2025-03-08,2025-05-08
OPP-000528,LEAD-001247,ACC-00921,REP-0006,Mid-Market,Outbound Prospecting,SOC2 + ISO 27001,Closed Won,3224.34,2024-01-28,2024-04-07
OPP-000529,LEAD-001248,ACC-00344,REP-0014,SMB,Security Conference,SOC2 Starter,Closed Lost,1240.49,2024-09-15,2024-10-13
OPP-000530,LEAD-001252,ACC-00483,REP-0031,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Won,7951.81,2025-12-01,2025-12-26
OPP-000531,LEAD-001253,ACC-00129,REP-0024,SMB,Paid Search,SOC2 Starter,Closed Won,1150.31,2025-05-29,2025-06-08
OPP-000532,LEAD-001254,ACC-01654,REP-0038,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1340.84,2025-07-02,2025-07-09
OPP-000533,LEAD-001258,ACC-00623,REP-0028,SMB,,SOC2 Starter,Closed Lost,1052.39,2026-03-05,2026-04-04
OPP-000534,LEAD-001259,ACC-00711,REP-0035,Mid-Market,Content Download,SOC2 Starter,Closed Lost,1352.76,2024-07-06,2024-08-16
OPP-000535,LEAD-001263,ACC-00319,REP-0032,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1487.3,2025-04-30,2025-05-24
OPP-000536,LEAD-001264,ACC-01282,REP-0005,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1474.6,2024-03-07,2024-04-02
OPP-000537,LEAD-001267,ACC-01222,REP-0004,SMB,Partner Referral,SOC2 Starter,Closed Lost,1250.01,2025-01-17,2025-01-24
OPP-000538,LEAD-001271,ACC-01389,REP-0004,SMB,,SOC2 Starter,Closed Lost,1059.21,2026-04-10,2026-05-07
OPP-000539,LEAD-001272,ACC-01706,REP-0019,SMB,Partner Referral,SOC2 Starter,Closed Lost,1364.89,2024-07-12,2024-07-28
OPP-000540,LEAD-001276,ACC-01784,REP-0025,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Lost,5969.93,2025-10-02,2025-10-28
OPP-000541,LEAD-001277,ACC-01248,REP-0018,SMB,Partner Referral,SOC2 Starter,Closed Lost,1273.15,2026-02-09,2026-02-21
OPP-000542,LEAD-001278,ACC-01141,REP-0002,SMB,,SOC2 Starter,Closed Lost,1206.11,2025-11-18,2025-12-05
OPP-000543,LEAD-001283,ACC-00315,REP-0018,SMB,Content Download,SOC2 Starter,Closed Lost,1278.99,2024-10-11,2024-11-08
OPP-000544,LEAD-001284,ACC-01458,REP-0038,SMB,Security Conference,SOC2 Starter,Closed Lost,1173.83,2024-12-15,2025-01-13
OPP-000545,LEAD-001285,ACC-00014,REP-0003,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1054.83,2025-04-26,2025-05-10
OPP-000546,LEAD-001286,ACC-01611,REP-0034,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1321.53,2025-08-26,2025-09-15
OPP-000547,LEAD-001290,ACC-00892,REP-0012,Mid-Market,Outbound Prospecting,Enterprise Multi-Framework,Closed Lost,8244.97,2024-12-09,2025-02-10
OPP-000548,LEAD-001292,ACC-00859,REP-0017,Mid-Market,Content Download,SOC2 + ISO 27001,Closed Lost,3468.44,2024-07-13,2024-08-08
OPP-000549,LEAD-001293,ACC-00434,REP-0012,Mid-Market,Outbound Prospecting,SOC2 Starter,Closed Lost,1025.41,2024-07-28,2024-08-21
OPP-000550,LEAD-001295,ACC-01764,REP-0026,Mid-Market,Partner Referral,SOC2 Starter,Closed Lost,1550.99,2024-12-11,2025-01-13
OPP-000551,LEAD-001297,ACC-00908,REP-0032,SMB,Security Conference,SOC2 Starter,Closed Won,1196.78,2025-09-12,2025-10-11
OPP-000552,LEAD-001298,ACC-00627,REP-0011,SMB,Organic Search,SOC2 Starter,Closed Won,1375.71,2025-02-06,2025-02-26
OPP-000553,LEAD-001299,ACC-00739,REP-0024,SMB,Partner Referral,SOC2 Starter,Closed Won,1310.63,2025-05-21,2025-06-05
OPP-000554,LEAD-001301,ACC-00373,REP-0006,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1085.19,2024-04-20,2024-05-04
OPP-000555,LEAD-001306,ACC-01328,REP-0022,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1073.81,2024-10-18,2024-11-09
OPP-000556,LEAD-001308,ACC-00760,REP-0007,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1215.75,2025-07-20,2025-08-02
OPP-000557,LEAD-001310,ACC-00755,REP-0016,SMB,Paid Search,SOC2 Starter,Closed Lost,1292.29,2026-01-28,2026-02-09
OPP-000558,LEAD-001311,ACC-00442,REP-0040,Mid-Market,Compliance Webinar,SOC2 Starter,Closed Lost,1460.54,2024-09-09,2024-10-14
OPP-000559,LEAD-001315,ACC-00307,REP-0015,SMB,Security Conference,SOC2 Starter,Closed Won,1098.16,2025-01-28,2025-02-08
OPP-000560,LEAD-001318,ACC-01513,REP-0014,SMB,Security Conference,SOC2 Starter,Closed Lost,1447.46,2025-03-28,2025-04-22
OPP-000561,LEAD-001322,ACC-00886,REP-0021,SMB,Security Conference,SOC2 Starter,Closed Won,1126.53,2025-07-30,2025-08-19
OPP-000562,LEAD-001327,ACC-00457,REP-0024,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Lost,6477.66,2025-01-08,2025-01-28
OPP-000563,LEAD-001332,ACC-00668,REP-0034,SMB,Organic Search,SOC2 Starter,Closed Lost,1351.07,2026-03-12,2026-03-20
OPP-000564,LEAD-001335,ACC-00600,REP-0003,Mid-Market,Organic Search,Enterprise Multi-Framework,Closed Lost,6633.7,2026-03-12,2026-05-25
OPP-000565,LEAD-001336,ACC-00749,REP-0023,SMB,Organic Search,SOC2 Starter,Closed Won,1122.21,2025-01-12,2025-02-04
OPP-000566,LEAD-001338,ACC-01501,REP-0029,SMB,Content Download,SOC2 Starter,Closed Lost,1104.9,2024-01-22,2024-01-29
OPP-000567,LEAD-001345,ACC-01311,REP-0024,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1030.51,2026-05-07,2026-05-30
OPP-000568,LEAD-001347,ACC-00124,REP-0024,Mid-Market,Content Download,SOC2 Starter,Closed Lost,1245.76,2025-09-06,2025-10-30
OPP-000569,LEAD-001350,ACC-01548,REP-0013,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1556.55,2025-04-05,2025-05-04
OPP-000570,LEAD-001351,ACC-00765,REP-0002,Mid-Market,Content Download,SOC2 Starter,Closed Won,1363.39,2024-09-07,2024-10-02
OPP-000571,LEAD-001352,ACC-00921,REP-0002,SMB,Partner Referral,SOC2 Starter,Closed Lost,1467.89,2025-02-12,2025-02-25
OPP-000572,LEAD-001360,ACC-01791,REP-0019,SMB,Partner Referral,SOC2 Starter,Closed Lost,1225.05,2025-04-04,2025-04-25
OPP-000573,LEAD-001362,ACC-01430,REP-0035,SMB,Organic Search,SOC2 Starter,Closed Lost,1417.5,2025-03-19,2025-04-11
OPP-000574,LEAD-001363,ACC-00184,REP-0016,Mid-Market,Paid Search,SOC2 Starter,Closed Lost,1303.51,2026-02-05,2026-04-03
OPP-000575,LEAD-001364,ACC-01765,REP-0022,Mid-Market,Organic Search,Enterprise Multi-Framework,Closed Lost,7135.96,2026-04-24,2026-06-15
OPP-000576,LEAD-001365,ACC-00155,REP-0012,SMB,Security Conference,SOC2 Starter,Closed Lost,1140.42,2024-05-27,2024-06-25
OPP-000577,LEAD-001369,ACC-01350,REP-0040,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1391.48,2024-03-08,2024-03-27
OPP-000578,LEAD-001371,ACC-00745,REP-0013,SMB,Content Download,SOC2 Starter,Closed Lost,1165.71,2024-03-22,2024-04-18
OPP-000579,LEAD-001372,ACC-00591,REP-0022,Mid-Market,Outbound Prospecting,SOC2 + ISO 27001,Closed Lost,2574.91,2026-05-21,2026-06-20
OPP-000580,LEAD-001373,ACC-00347,REP-0010,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1443.86,2026-04-13,2026-04-20
OPP-000581,LEAD-001375,ACC-01581,REP-0027,Mid-Market,Compliance Webinar,SOC2 Starter,Closed Lost,1337.57,2024-09-08,2024-11-10
OPP-000582,LEAD-001378,ACC-01408,REP-0025,Mid-Market,Organic Search,SOC2 Starter,Closed Won,1321.86,2026-05-14,2026-06-16
OPP-000583,LEAD-001382,ACC-00771,REP-0003,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1372.18,2025-02-19,2025-03-21
OPP-000584,LEAD-001386,ACC-01240,REP-0039,SMB,Partner Referral,SOC2 Starter,Closed Won,1227.54,2024-06-12,2024-06-27
OPP-000585,LEAD-001387,ACC-01739,REP-0034,Mid-Market,G2/Capterra Review,SOC2 Starter,Closed Won,1058.13,2024-03-25,2024-05-17
OPP-000586,LEAD-001389,ACC-00299,REP-0038,Enterprise,,Enterprise Multi-Framework,Closed Won,6067.71,2024-06-30,2024-10-16
OPP-000587,LEAD-001390,ACC-01039,REP-0024,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1425.11,2025-12-03,2026-01-01
OPP-000588,LEAD-001393,ACC-00503,REP-0027,Enterprise,Paid Search,SOC2 + ISO 27001,Closed Won,3134.11,2024-06-23,2024-11-11
OPP-000589,LEAD-001395,ACC-01334,REP-0027,Mid-Market,Organic Search,Enterprise Multi-Framework,Closed Won,6646.21,2024-03-07,2024-04-16
OPP-000590,LEAD-001397,ACC-00615,REP-0005,SMB,Partner Referral,SOC2 Starter,Closed Won,1305.5,2026-05-22,2026-06-02
OPP-000591,LEAD-001398,ACC-01259,REP-0038,SMB,Content Download,SOC2 Starter,Closed Won,1541.75,2025-01-02,2025-01-30
OPP-000592,LEAD-001400,ACC-01124,REP-0033,SMB,Partner Referral,SOC2 Starter,Closed Won,1057.04,2025-11-13,2025-12-06
OPP-000593,LEAD-001401,ACC-00008,REP-0030,SMB,Partner Referral,SOC2 Starter,Closed Lost,1513.61,2024-02-07,2024-02-17
OPP-000594,LEAD-001405,ACC-00419,REP-0026,Mid-Market,Compliance Webinar,Enterprise Multi-Framework,Closed Lost,5610.84,2025-04-29,2025-06-03
OPP-000595,LEAD-001408,ACC-01332,REP-0022,Mid-Market,G2/Capterra Review,SOC2 + ISO 27001,Closed Lost,2643.87,2025-04-05,2025-06-06
OPP-000596,LEAD-001409,ACC-01706,REP-0032,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1113.84,2025-11-05,2025-11-16
OPP-000597,LEAD-001411,ACC-01759,REP-0032,SMB,Security Conference,SOC2 Starter,Closed Won,1321.9,2024-02-13,2024-03-06
OPP-000598,LEAD-001414,ACC-00459,REP-0005,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1292.32,2024-01-03,2024-02-01
OPP-000599,LEAD-001420,ACC-01641,REP-0020,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1149.97,2025-09-15,2025-09-29
OPP-000600,LEAD-001421,ACC-01580,REP-0038,Mid-Market,Outbound Prospecting,SOC2 + ISO 27001,Closed Lost,3025.89,2024-09-28,2024-11-23
OPP-000601,LEAD-001422,ACC-01612,REP-0017,SMB,Paid Search,SOC2 Starter,Closed Won,1429.99,2025-08-16,2025-08-28
OPP-000602,LEAD-001426,ACC-00068,REP-0005,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1269.83,2025-05-23,2025-06-15
OPP-000603,LEAD-001428,ACC-01226,REP-0006,SMB,Partner Referral,SOC2 Starter,Closed Won,1086.44,2026-01-13,2026-02-11
OPP-000604,LEAD-001431,ACC-00792,REP-0023,Mid-Market,Content Download,SOC2 Starter,Closed Lost,1137.29,2025-03-01,2025-05-04
OPP-000605,LEAD-001434,ACC-00269,REP-0014,Mid-Market,Organic Search,SOC2 Starter,Closed Lost,1261.8,2026-05-23,2026-06-20
OPP-000606,LEAD-001437,ACC-01539,REP-0002,SMB,Security Conference,SOC2 Starter,Closed Won,1095.9,2025-09-21,2025-10-07
OPP-000607,LEAD-001439,ACC-01754,REP-0021,SMB,Partner Referral,SOC2 Starter,Closed Won,1062.85,2024-01-19,2024-02-11
OPP-000608,LEAD-001440,ACC-00651,REP-0040,Enterprise,Organic Search,SOC2 + ISO 27001,Closed Won,2526.6,2024-12-16,2025-04-08
OPP-000609,LEAD-001441,ACC-00705,REP-0009,SMB,Partner Referral,SOC2 Starter,Closed Lost,1318.75,2025-10-08,2025-10-29
OPP-000610,LEAD-001442,ACC-01161,REP-0007,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1524.46,2025-03-18,2025-03-25
OPP-000611,LEAD-001444,ACC-00039,REP-0005,SMB,Organic Search,SOC2 Starter,Closed Lost,1429.18,2026-05-04,2026-05-25
OPP-000612,LEAD-001445,ACC-00132,REP-0015,Mid-Market,Security Conference,SOC2 Starter,Closed Won,1313.34,2024-11-25,2025-02-08
OPP-000613,LEAD-001446,ACC-00037,REP-0005,Mid-Market,Partner Referral,SOC2 Starter,Closed Lost,1036.15,2024-07-11,2024-09-11
OPP-000614,LEAD-001448,ACC-01159,REP-0036,Mid-Market,,SOC2 Starter,Closed Lost,1487.41,2024-11-18,2025-01-30
OPP-000615,LEAD-001454,ACC-01548,REP-0018,Mid-Market,G2/Capterra Review,Enterprise Multi-Framework,Negotiation,6215.94,2026-05-20,2026-06-30
OPP-000616,LEAD-001455,ACC-00826,REP-0003,SMB,Organic Search,SOC2 Starter,Closed Lost,1104.63,2025-05-25,2025-06-15
OPP-000617,LEAD-001457,ACC-01296,REP-0019,SMB,Organic Search,SOC2 Starter,Closed Lost,1536.2,2025-09-09,2025-09-27
OPP-000618,LEAD-001459,ACC-00015,REP-0028,Mid-Market,Outbound Prospecting,Enterprise Multi-Framework,Closed Won,8120.7,2024-08-05,2024-10-17
OPP-000619,LEAD-001461,ACC-00719,REP-0015,Mid-Market,Organic Search,SOC2 + ISO 27001,Closed Won,3274.92,2025-08-14,2025-09-16
OPP-000620,LEAD-001462,ACC-00863,REP-0009,Enterprise,Compliance Webinar,Enterprise Multi-Framework,Closed Lost,6320.91,2024-04-12,2024-06-15
OPP-000621,LEAD-001464,ACC-00245,REP-0032,Mid-Market,Compliance Webinar,Enterprise Multi-Framework,Closed Lost,5743.26,2024-04-06,2024-04-28
OPP-000622,LEAD-001470,ACC-01494,REP-0022,Mid-Market,,SOC2 Starter,Closed Lost,1339.51,2025-06-19,2025-07-22
OPP-000623,LEAD-001473,ACC-00908,REP-0013,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1470.85,2024-09-12,2024-09-20
OPP-000624,LEAD-001474,ACC-01694,REP-0010,Mid-Market,Organic Search,Enterprise Multi-Framework,Closed Lost,7989.25,2025-09-11,2025-10-01
OPP-000625,LEAD-001476,ACC-00693,REP-0037,Mid-Market,Content Download,SOC2 Starter,Closed Lost,1147.71,2025-11-18,2026-01-20
OPP-000626,LEAD-001479,ACC-00103,REP-0015,Mid-Market,Partner Referral,SOC2 + ISO 27001,Closed Lost,2985.45,2024-01-15,2024-02-18
OPP-000627,LEAD-001481,ACC-00411,REP-0015,Mid-Market,Organic Search,Enterprise Multi-Framework,Closed Lost,5581.84,2025-02-24,2025-03-22
OPP-000628,LEAD-001486,ACC-00024,REP-0002,Enterprise,Paid Search,Enterprise Multi-Framework,Closed Won,6628.29,2024-07-27,2024-10-08
OPP-000629,LEAD-001488,ACC-00739,REP-0003,Mid-Market,Security Conference,SOC2 Starter,Closed Lost,1370.13,2025-08-23,2025-10-27
OPP-000630,LEAD-001489,ACC-00549,REP-0026,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1141.58,2025-12-05,2025-12-23
OPP-000631,LEAD-001490,ACC-00524,REP-0024,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,8305.5,2025-05-06,2025-06-27
OPP-000632,LEAD-001500,ACC-00796,REP-0019,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1077.0,2025-08-01,2025-08-28
